Postcode,Population
CO16 9,5411
CO2  0,4555
CO2  7,9411
CO2  8,12886
CO2  9,8851
CO3  0,7810
CO3  3,8136
CO3  4,6773
CO3  8,840
CO3  9,5026
CO4  0,7351
CO4  3,18290
CO4  5,14244
CO4  9,8924
CO5  0,10041
CO5  7,4581
CO5  8,7574
CO5  9,6475
CO6  1,9856
CO6  2,6390
CO6  3,6288
CO6  4,5977
CO6  5,863
CO7  0,8211
CO7  6,6061
CO7  7,5578
CO7  8,5887
CO7  9,7765
CO8  5,2340
CO9  1,9556
CO9  2,6145
CO9  3,5709
CO9  4,4271
CR0  0,18593
CR0  1,9124
CR0  2,19715
CR0  3,19070
CR0  4,17065
CR0  5,10893
CR0  6,22268
CR0  7,16280
CR0  8,13151
CR0  9,10669
CR2  0,11184
CR2  6,11046
CR2  7,8373
CR2  8,11475
CR2  9,7202
CR3  0,4355
CR3  5,12915
CR3  6,9572
CR3  7,2177
CR4  1,17288
CR4  2,13629
CR4  3,19091
CR4  4,9784
CR5  1,10818
CR5  2,9315
CR5  3,9213
CR6  9,10008
CR7  6,9200
CR7  7,17984
CR7  8,18259
CR8  1,4936
CR8  2,8428
CR8  3,5088
CR8  4,6192
CR8  5,8446
CT1  1,14776
CT1  2,4368
CT1  3,12128
CT10 1,7174
CT10 2,10699
CT10 3,7448
CT11 0,7590
CT11 7,9323
CT11 8,5857
CT11 9,6925
CT12 4,3946
CT12 5,2787
CT12 6,11390
CT13 0,6056
CT13 9,2992
CT14 0,3008
CT14 6,5445
CT14 7,9327
CT14 8,2739
CT14 9,15124
CT15 4,3767
CT15 5,3343
CT15 6,2541
CT15 7,3807
CT16 1,3504
CT16 2,10770
CT16 3,5677
CT17 0,12508
CT17 9,9949
CT18 7,11005
CT18 8,3137
CT19 4,9353
CT19 5,10405
CT19 6,9593
CT2  0,5982
CT2  7,13737
CT2  8,7693
CT2  9,3821
CT20 1,7163
CT20 2,7671
CT20 3,8011
CT21 4,4449
CT21 5,6554
CT21 6,6429
CT3  1,5956
CT3  2,3420
CT3  3,4512
CT3  4,3683
CT4  5,4240
CT4  6,5212
CT4  7,5545
CT4  8,1910
CT5  1,7662
CT5  2,8383
CT5  3,6892
CT5  4,10685
CT6  5,7606
CT6  6,9983
CT6  7,12840
CT6  8,8781
CT7  0,4111
CT7  9,7538
CT8  8,7461
CT9  1,6872
CT9  2,10960
CT9  3,11263
CT9  4,3925
CT9  5,11161
CV1  1,443
CV1  2,6877
CV1  3,5085
CV1  4,8302
CV1  5,10996
CV10 0,12799
CV10 7,11264
CV10 8,12175
CV10 9,14483
CV11 4,12264
CV11 5,11301
CV11 6,16527
CV12 0,9252
CV12 8,10861
CV12 9,12024
CV13 0,6509
CV13 6,4384
CV2  1,12203
CV2  2,12735
CV2  3,13229
CV2  4,13913
CV2  5,12190
CV21 1,10008
CV21 2,8124
CV21 3,10399
CV21 4,7656
CV22 5,9526
CV22 6,10646
CV22 7,15754
CV23 0,9773
CV23 8,5706
CV23 9,6722
CV3  1,9029
CV3  2,16632
CV3  3,8006
CV3  4,4319
CV3  5,13706
CV3  6,12694
CV31 1,12376
CV31 2,12493
CV31 3,7190
CV32 4,3200
CV32 5,8368
CV32 6,7616
CV32 7,14060
CV33 9,6205
CV34 4,4912
CV34 5,14457
CV34 6,12503
CV35 0,5882
CV35 7,5398
CV35 8,5771
CV35 9,7968
CV36 4,6604
CV36 5,2835
CV37 0,6845
CV37 6,6790
CV37 7,8803
CV37 8,7086
CV37 9,12160
CV4  7,9027
CV4  8,8149
CV4  9,16754
CV47 0,2249
CV47 1,4426
CV47 2,5231
CV47 7,763
CV47 8,2532
CV47 9,2046
CV5  6,12115
CV5  7,12131
CV5  8,12554
CV5  9,9940
CV6  1,14049
CV6  2,12335
CV6  3,11016
CV6  4,13318
CV6  5,13696
CV6  6,10876
CV6  7,12687
CV7  7,10928
CV7  8,8685
CV7  9,8935
CV8  1,11206
CV8  2,13462
CV8  3,6885
CV9  1,5892
CV9  2,9139
CV9  3,6528
CW1  2,1532
CW1  3,17638
CW1  4,11851
CW1  5,10903
CW1  6,1165
CW10 0,7724
CW10 9,6877
CW11 1,7357
CW11 2,1919
CW11 3,7301
CW11 4,6414
CW12 1,3935
CW12 2,5015
CW12 3,10228
CW12 4,10534
CW2  5,8196
CW2  6,10827
CW2  7,9440
CW2  8,13348
CW3  0,2800
CW3  9,6429
CW4  7,5920
CW4  8,3614
CW5  5,7880
CW5  6,7536
CW5  7,9816
CW5  8,4539
CW6  0,7122
CW6  9,5241
CW7  1,9497
CW7  2,10998
CW7  3,9618
CW7  4,1869
CW8  1,8832
CW8  2,9240
CW8  3,7259
CW8  4,10552
CW9  5,3427
CW9  6,5755
CW9  7,10952
CW9  8,13568
DA1  1,9775
DA1  2,11961
DA1  3,12208
DA1  4,8510
DA1  5,11118
DA10 0,6859
DA11 0,9059
DA11 7,9160
DA11 8,11146
DA11 9,9333
DA12 1,6823
DA12 2,9053
DA12 3,2395
DA12 4,14680
DA12 5,15237
DA13 0,9158
DA13 9,5532
