"ID","Short Postcode","Population"
"E01018994","TR18 3",6406
"E01018997","TR18 3",6406
"E01018999","TR18 4",4745
"E01019001","TR18 4",4745
"E01018995","TR18 4",4745
"E01018994","TR18 4",4745
"E01018976","TR18 4",4745
"E01019000","TR18 4",4745
"E01019003","TR18 4",4745
"E01019004","TR18 5",3555
"E01019003","TR18 5",3555
"E01019002","TR18 5",3555
"E01019006","TR19 6",3318
"E01019005","TR19 6",3318
"E01018989","TR19 6",3318
"E01018992","TR19 6",3318
"E01019002","TR19 6",3318
"E01019005","TR19 7",5765
"E01018992","TR19 7",5765
"E01018991","TR19 7",5765
"E01018993","TR19 7",5765
"E01018846","TR2  4",5351
"E01018847","TR2  4",5351
"E01018845","TR2  4",5351
"E01019071","TR2  4",5351
"E01018848","TR2  4",5351
"E01018815","TR2  4",5351
"E01019063","TR2  4",5351
"E01019066","TR2  4",5351
"E01018849","TR2  5",4166
"E01018845","TR2  5",4166
"E01018850","TR2  5",4166
"E01019066","TR2  5",4166
"E01018846","TR2  5",4166
"E01018988","TR20 8",4735
"E01018987","TR20 8",4735
"E01018989","TR20 8",4735
"E01019006","TR20 8",4735
"E01018992","TR20 8",4735
"E01018976","TR20 8",4735
"E01018994","TR20 8",4735
"E01019003","TR20 8",4735
"E01019002","TR20 8",4735
"E01018991","TR20 8",4735
"E01018862","TR20 9",4609
"E01018975","TR20 9",4609
"E01019007","TR20 9",4609
"E01018987","TR20 9",4609
"E01018864","TR20 9",4609
"E01018990","TR20 9",4609
"E01018988","TR20 9",4609
"E01019012","TR26 1",3761
"E01019008","TR26 1",3761
"E01019009","TR26 1",3761
"E01019010","TR26 1",3761
"E01019011","TR26 1",3761
"E01019011","TR26 2",6259
"E01019012","TR26 2",6259
"E01019010","TR26 2",6259
"E01019009","TR26 2",6259
"E01018986","TR26 2",6259
"E01018985","TR26 2",6259
"E01019008","TR26 2",6259
"E01019010","TR26 3",1685
"E01019009","TR26 3",1685
"E01018987","TR26 3",1685
"E01018989","TR26 3",1685
"E01018985","TR26 3",1685
"E01019011","TR26 3",1685
"E01018984","TR27 4",7332
"E01018983","TR27 4",7332
"E01018981","TR27 4",7332
"E01018982","TR27 4",7332
"E01018978","TR27 4",7332
"E01018982","TR27 5",4311
"E01018981","TR27 5",4311
"E01018978","TR27 5",4311
"E01018980","TR27 5",4311
"E01018979","TR27 5",4311
"E01018984","TR27 5",4311
"E01018864","TR27 6",3204
"E01019007","TR27 6",3204
"E01018979","TR27 6",3204
"E01018985","TR27 6",3204
"E01018983","TR27 6",3204
"E01018987","TR27 6",3204
"E01018817","TR3  6",7943
"E01018818","TR3  6",7943
"E01018816","TR3  6",7943
"E01018822","TR3  6",7943
"E01018819","TR3  6",7943
"E01018855","TR3  6",7943
"E01018921","TR3  7",4525
"E01018901","TR3  7",4525
"E01018830","TR3  7",4525
"E01018827","TR3  7",4525
"E01018829","TR3  7",4525
"E01018825","TR4  8",6061
"E01018892","TR4  8",6061
"E01018826","TR4  8",6061
"E01018852","TR4  8",6061
"E01018820","TR4  8",6061
"E01018843","TR4  8",6061
"E01018817","TR4  8",6061
"E01018819","TR4  8",6061
"E01018829","TR4  8",6061
"E01018830","TR4  8",6061
"E01018846","TR4  9",5047
"E01018815","TR4  9",5047
"E01018819","TR4  9",5047
"E01018821","TR4  9",5047
"E01018843","TR4  9",5047
"E01018857","TR4  9",5047
"E01018855","TR4  9",5047
"E01018833","TR4  9",5047
"E01018851","TR5  0",3905
"E01018852","TR5  0",3905
"E01018843","TR5  0",3905
"E01018842","TR6  0",3535
"E01018833","TR6  0",3535
"E01018843","TR6  0",3535
"E01018844","TR6  0",3535
"E01018852","TR6  0",3535
"E01019029","TR7  1",6247
"E01019020","TR7  1",6247
"E01019028","TR7  1",6247
"E01019031","TR7  1",6247
"E01019030","TR7  1",6247
"E01019022","TR7  1",6247
"E01019022","TR7  2",8436
"E01019030","TR7  2",8436
"E01019029","TR7  2",8436
"E01019028","TR7  2",8436
"E01019021","TR7  2",8436
"E01019020","TR7  2",8436
"E01019019","TR7  2",8436
"E01019023","TR7  2",8436
"E01019018","TR7  2",8436
"E01019048","TR7  3",5618
"E01019019","TR7  3",5618
"E01019018","TR7  3",5618
"E01019049","TR7  3",5618
"E01019051","TR7  3",5618
"E01019048","TR8  4",3525
"E01019060","TR8  4",3525
"E01019050","TR8  4",3525
"E01019049","TR8  4",3525
"E01019064","TR8  4",3525
"E01019018","TR8  4",3525
"E01018831","TR8  4",3525
"E01019063","TR8  4",3525
"E01018815","TR8  4",3525
"E01019063","TR8  5",4492
"E01018815","TR8  5",4492
"E01018847","TR8  5",4492
"E01019064","TR8  5",4492
"E01018832","TR8  5",4492
"E01019031","TR8  5",4492
"E01018831","TR8  5",4492
"E01018833","TR8  5",4492
"E01019061","TR9  6",8270
"E01019062","TR9  6",8270
"E01019060","TR9  6",8270
"E01019052","TR9  6",8270
"E01019064","TR9  6",8270
"E01019063","TR9  6",8270
"E01019065","TR9  6",8270
"E01001874","W12  7",11387
